km	long	lat	alt	name
125.955	131.20760	-13.30751	64.0	
126.276	131.20861	-13.31024	65.8	
126.308	131.20870	-13.31052	65.5	
126.435	131.20900	-13.31163	63.5	
126.712	131.20949	-13.31408	61.5	
127.017	131.20991	-13.31681	59.7	
127.455	131.21048	-13.32073	60.2	
128.033	131.21125	-13.32590	58.7	
128.283	131.21159	-13.32813	62.3	
128.891	131.21231	-13.33358	63.0	
129.247	131.21237	-13.33680	61.9	
129.353	131.21232	-13.33776	62.9	
129.605	131.21211	-13.34003	65.4	
130.106	131.21168	-13.34454	66.0	
130.213	131.21158	-13.34550	67.6	
130.499	131.21136	-13.34807	71.4	
130.534	131.21134	-13.34839	72.3	
130.640	131.21132	-13.34935	75.7	
130.820	131.21137	-13.35097	76.1	
130.855	131.21140	-13.35129	75.6	
130.963	131.21149	-13.35226	77.1	
131.323	131.21211	-13.35546	78.9	
131.610	131.21291	-13.35793	75.0	
131.789	131.21355	-13.35942	71.2	
132.146	131.21513	-13.36226	66.7	
132.504	131.21709	-13.36486	66.1	
132.672	131.21813	-13.36599	67.2	
132.908	131.21971	-13.36745	68.9	
133.226	131.22204	-13.36920	69.0	
133.344	131.22296	-13.36978	71.2	
133.648	131.22542	-13.37109	71.1	
133.829	131.22696	-13.37173	66.2	
134.190	131.23013	-13.37274	67.2	
134.442	131.23236	-13.37338	66.9	
134.632	131.23404	-13.37389	67.8	
135.005	131.23735	-13.37481	64.2	
135.628	131.24285	-13.37647	65.2	
136.038	131.24629	-13.37801	65.4	
136.423	131.24926	-13.37992	71.0	
136.883	131.25253	-13.38257	73.1	
137.131	131.25429	-13.38401	77.1	
137.307	131.25553	-13.38503	78.3	
137.478	131.25674	-13.38603	85.5	
137.647	131.25794	-13.38700	86.6	
137.846	131.25935	-13.38816	91.0	
138.438	131.26353	-13.39160	87.5	
138.698	131.26540	-13.39308	84.6	
138.735	131.26567	-13.39328	83.7	
138.884	131.26677	-13.39410	79.8	
138.920	131.26704	-13.39429	79.3	
139.424	131.27085	-13.39690	79.6	
139.912	131.27458	-13.39937	84.5	
140.046	131.27561	-13.40005	86.3	
140.212	131.27687	-13.40089	95.2	
140.310	131.27763	-13.40138	106.0	
140.507	131.27914	-13.40237	90.8	
140.643	131.28018	-13.40306	87.6	
140.818	131.28152	-13.40395	83.7	
141.137	131.28397	-13.40554	82.8	
141.592	131.28745	-13.40785	77.1	
141.734	131.28853	-13.40857	75.5	
141.980	131.29040	-13.40984	71.7	
142.368	131.29327	-13.41193	68.8	
143.003	131.29774	-13.41565	70.4	
143.321	131.29985	-13.41765	74.1	
143.497	131.30099	-13.41878	77.3	
143.532	131.30122	-13.41901	78.1	
143.994	131.30405	-13.42213	72.6	
144.453	131.30668	-13.42538	70.5	
145.053	131.30985	-13.42983	74.2	
145.496	131.31196	-13.43326	73.7	
145.890	131.31368	-13.43640	75.2	
146.096	131.31451	-13.43808	78.7	
146.221	131.31502	-13.43909	80.0	
146.285	131.31528	-13.43961	81.8	
146.419	131.31582	-13.44070	87.5	
146.557	131.31638	-13.44182	87.2	
146.738	131.31709	-13.44330	90.3	
146.962	131.31802	-13.44511	90.2	
147.075	131.31849	-13.44602	93.0	
147.187	131.31895	-13.44693	98.3	
147.299	131.31940	-13.44784	100.9	
147.409	131.31985	-13.44873	107.9	
147.518	131.32030	-13.44961	108.9	
147.554	131.32045	-13.44990	109.8	
147.663	131.32089	-13.45079	115.5	
147.919	131.32193	-13.45287	105.0	
148.069	131.32253	-13.45409	99.1	
148.184	131.32300	-13.45502	96.2	
148.222	131.32315	-13.45533	96.5	
148.631	131.32481	-13.45865	103.6	
148.739	131.32525	-13.45953	106.4	
149.025	131.32641	-13.46185	110.9	
